runnerId,10K,15K,20K,20M,25K,30K,35K,40K,5K,HALF,MAR
47333580,0:30:11,0:44:58,1:00:10,1:37:02,1:15:41,1:30:17,1:45:46,2:01:44,0:15:02,1:03:36,2:08:41
47332387,0:30:11,0:45:00,1:00:12,1:37:30,1:15:52,1:30:42,1:46:03,2:01:56,0:15:02,1:03:36,2:08:54
47319914,0:30:11,0:44:57,1:00:10,1:37:30,1:15:45,1:30:41,1:46:19,2:02:53,0:15:01,1:03:35,2:10:31
47355597,0:30:10,0:44:57,1:00:10,1:37:30,1:15:51,1:30:41,1:46:42,2:03:44,0:15:02,1:03:35,2:11:00
47316430,0:30:11,0:45:00,1:00:11,1:38:29,1:16:00,1:31:29,1:47:29,2:04:08,0:15:02,1:03:35,2:11:31
47345597,0:30:10,0:45:11,1:00:23,1:38:12,1:15:53,1:31:11,1:47:26,2:04:42,0:15:00,1:03:44,2:12:12
47319147,0:30:09,0:44:57,1:00:11,1:38:42,1:15:52,1:31:22,1:48:40,2:06:18,0:15:00,1:03:35,2:13:27
47352610,0:30:11,0:45:26,1:00:40,1:38:38,1:16:23,1:31:41,1:48:02,2:05:43,0:15:01,1:04:03,2:13:29
47351463,0:30:55,0:46:51,1:02:46,1:40:54,1:18:45,1:34:03,1:49:46,2:06:23,0:15:22,1:06:14,2:13:35
47345590,0:30:55,0:46:52,1:02:47,1:42:13,1:19:07,1:35:04,1:51:26,2:08:00,0:15:23,1:06:19,2:15:23
47351902,0:30:56,0:46:52,1:02:47,1:42:52,1:19:24,1:35:35,1:52:23,2:09:59,0:15:24,1:06:21,2:17:09
47316283,0:31:06,0:47:05,1:03:06,1:43:10,1:19:40,1:35:53,1:52:45,2:09:58,0:15:22,1:06:40,2:17:15
47359468,0:30:13,0:45:11,1:00:42,1:41:06,1:17:21,1:33:43,1:50:50,2:09:28,0:15:02,1:04:14,2:17:29
47333750,0:30:55,0:46:52,1:02:47,1:43:32,1:19:22,1:35:56,1:53:30,2:12:08,0:15:23,1:06:19,2:20:04
47333613,0:30:14,0:46:06,1:02:10,1:43:43,1:19:11,1:36:04,1:53:50,2:12:12,0:15:01,1:05:46,2:20:14
47352442,0:32:39,0:48:42,1:04:45,1:45:37,1:21:29,1:38:01,1:55:43,2:14:36,0:16:35,1:08:20,2:22:31
47318083,0:30:55,0:46:51,1:02:45,1:44:38,1:19:42,1:36:38,1:55:12,2:14:22,0:15:23,1:06:17,2:22:58
47317027,0:33:01,0:49:40,1:06:25,1:47:38,1:23:33,1:40:06,1:57:29,2:15:24,0:16:30,1:10:04,2:23:10
47341730,0:34:26,0:51:24,1:08:32,1:49:54,1:25:46,1:42:39,1:59:13,2:16:07,0:17:18,1:12:17,2:23:23
47331103,0:34:26,0:51:23,1:08:31,1:49:53,1:25:46,1:42:38,1:59:13,2:16:07,0:17:17,1:12:17,2:23:30
47350603,0:33:33,0:50:22,1:07:27,1:48:34,1:24:47,1:41:14,1:58:03,2:15:39,0:16:44,1:11:13,2:23:33
47347995,0:34:25,0:51:24,1:08:30,1:49:47,1:25:47,1:42:27,1:59:13,2:16:09,0:17:17,1:12:17,2:23:39
47348365,0:32:20,0:48:52,1:05:18,1:46:13,1:22:06,1:38:40,1:56:39,2:15:37,0:16:07,1:08:57,2:23:42
47336769,0:34:25,0:51:24,1:08:33,1:49:55,1:25:47,1:42:39,1:59:24,2:16:38,0:17:17,1:12:18,2:24:16
47337484,0:33:32,0:50:22,1:07:32,1:49:15,1:24:54,1:41:41,1:59:04,2:16:50,0:16:45,1:11:21,2:24:27
47322745,0:30:56,0:46:38,1:02:15,1:42:47,1:18:39,1:34:50,1:54:16,2:15:48,0:15:24,1:05:46,2:25:27
47345400,0:34:25,0:51:23,1:08:31,1:49:48,1:25:47,1:42:27,1:59:20,2:17:38,0:17:17,1:12:17,2:25:34
47325349,0:32:23,0:48:51,1:05:40,1:48:33,1:22:57,1:40:50,1:58:45,2:17:27,0:16:07,1:09:21,2:25:45
47345654,0:34:25,0:51:23,1:08:29,1:49:47,1:25:46,1:42:27,1:59:12,2:16:55,0:17:17,1:12:17,2:25:49
47319498,0:34:26,0:51:23,1:08:32,1:50:11,1:25:48,1:42:39,2:00:13,2:18:23,0:17:17,1:12:18,2:26:18
47342387,0:34:26,0:51:32,1:08:48,1:51:20,1:26:36,1:43:41,2:01:10,2:19:08,0:17:20,1:12:37,2:26:53
47336863,0:34:32,0:51:52,1:09:10,1:51:46,1:26:57,1:44:06,2:01:39,2:19:35,0:17:21,1:13:01,2:27:27
47348104,0:30:12,0:45:26,1:01:42,1:45:46,1:19:31,1:37:15,1:56:49,2:18:46,0:15:01,1:05:31,2:28:15
47349524,0:34:28,0:51:27,1:08:35,1:51:12,1:26:15,1:43:23,2:01:28,2:20:23,0:17:20,1:12:23,2:28:32
47319226,0:34:04,0:51:02,1:08:13,1:52:01,1:26:17,1:43:57,2:02:22,2:21:04,0:17:08,1:12:07,2:29:16
